Document,Content
Doc 1,"Indonesia Raya merupakan lagu kebangsaan Republik Indonesia. Lagu ini menjadi salah satu titik kelahiran pergerakan nasionalis di seluruh Nusantara yang mendukung ide ""Indonesia"" yang satu sebagai penerus Hindia Belanda, daripada dipecah belah menjadi beberapa koloni. Lagu ini digubah oleh Wage Rudolf Soepratman pada tahun 1924 dan kemudian diperkenalkan di depan khalayak pada tanggal 28 oktober 1928 dalam Kongres Pemuda II di Batavia (Jakarta)."
Doc 2,"Lagu Indonesia Raya merupakan lagu kebangsaan Indonesia. penggunaannya sebagai lagu kebangsaan dimulai pada tanggal 17 Agustus 1945, ketika Indonesia menyatakan kemerdekaan dari penjajahan. Lagu Indonesia Raya sering dinyanyikan pada acara-acara penting. Seperti dalam upacara bendera, seminar, hingga pertandingan sepakbola. Bahkan dalam konser musik, lagu Indonesia Raya juga sering kali dinyanyikan."
Doc 3,"Lagu Indonesia Raya diciptakan ketika WR Supratman membaca artikel di majalah Timboel Solo, yang bertanya mengenai komponis Indonesia yang mampu menciptakan lagu kebangsaan yang membangkitkan semangat rakyat. Artikel itu menggerakkan hati Supratman. Pada suatu malam tahun 1926, Supratman mulai mencatat not-not lagu Indonesia Raya dan memainkannya dengan biola."
Doc 4,Tambang nikel di Raja Ampat menjadi sorotan karena berada di wilayah dengan keanekaragaman hayati laut yang sangat tinggi. Aktivitas pertambangan dikhawatirkan akan mengganggu ekosistem yang selama ini dilindungi dan menjadi kebanggaan nasional.
Doc 5,"Pemerintah Papua Barat sempat memberikan izin usaha pertambangan (IUP) kepada perusahaan untuk mengeksplorasi nikel di Raja Ampat. Namun, izin ini mendapat penolakan dari masyarakat lokal serta berbagai organisasi lingkungan karena dikhawatirkan akan merusak alam."
Doc 6,"Raja Ampat dikenal sebagai surga bawah laut dunia, rumah bagi lebih dari 75% spesies karang di dunia. Kehadiran tambang nikel di wilayah ini dinilai bertentangan dengan upaya pelestarian lingkungan dan pengembangan pariwisata berkelanjutan."
Doc 7,"Penolakan tambang nikel di Raja Ampat melibatkan kolaborasi antara masyarakat adat, LSM lingkungan, dan akademisi. Mereka menuntut agar wilayah ini tetap menjadi kawasan konservasi dan tidak dijadikan lokasi pertambangan."
Doc 8,"Studi ilmiah menunjukkan bahwa aktivitas tambang nikel dapat meningkatkan risiko pencemaran air dan tanah, yang akan berdampak pada biota laut dan kehidupan masyarakat pesisir di Raja Ampat yang bergantung pada laut untuk kehidupan sehari-hari."
Doc 9,"Pada tahun 2023, pemerintah pusat mencabut beberapa izin tambang nikel di Raja Ampat setelah tekanan publik dan bukti ilmiah yang menunjukkan dampak lingkungan serius. Keputusan ini disambut baik oleh aktivis lingkungan dan masyarakat setempat."
Doc 10,Beberapa perusahaan yang sempat terlibat dalam rencana tambang nikel di Raja Ampat antara lain PT Anugerah Surya Pacific Resources dan PT Indo Nikel Karya Pratama. Nama-nama perusahaan ini mencuat dalam laporan izin usaha pertambangan yang dikeluarkan pemerintah Papua Barat sebelum akhirnya sebagian izin tersebut dicabut.
Doc 11,"Nikel adalah logam yang digunakan secara luas dalam industri, terutama sebagai bahan baku baterai kendaraan listrik, baja tahan karat, dan logam campuran. Indonesia merupakan salah satu produsen nikel terbesar di dunia, dan permintaan global terhadap nikel terus meningkat seiring transisi energi ke teknologi ramah lingkungan."
Doc 12,"Izin usaha pertambangan (IUP) untuk eksplorasi dan eksploitasi nikel di Raja Ampat dikeluarkan oleh pemerintah daerah Papua Barat. Namun, berdasarkan hasil evaluasi kementerian terkait, beberapa izin dicabut karena tidak sesuai dengan prinsip konservasi lingkungan dan tumpang tindih dengan kawasan konservasi laut dan hutan lindung."
